document_id,building,relative_path,filename,extension,size_bytes,last_modified,has_text
"Stirling_Square/5-7, Carlton Gardens, London, SW1, Operating & Maintenance Instructions for the BMS, Volume 2, 2.1 - Sections A-F.pdf",Stirling_Square,"Stirling_Square/5-7, Carlton Gardens, London, SW1, Operating & Maintenance Instructions for the BMS, Volume 2, 2.1 - Sections A-F.pdf","5-7, Carlton Gardens, London, SW1, Operating & Maintenance Instructions for the BMS, Volume 2, 2.1 - Sections A-F.pdf",.pdf,18866642,2025-12-03T02:15:00,True
"Stirling_Square/5-7, Carlton Gardens, London, SW1, O&MInstructions for the Mechanical Services, Volume 1, 1.5.1 - Section J.pdf",Stirling_Square,"Stirling_Square/5-7, Carlton Gardens, London, SW1, O&MInstructions for the Mechanical Services, Volume 1, 1.5.1 - Section J.pdf","5-7, Carlton Gardens, London, SW1, O&MInstructions for the Mechanical Services, Volume 1, 1.5.1 - Section J.pdf",.pdf,12128612,2025-12-03T02:15:00,True
"Stirling_Square/5-7, Carlton Gardens, London, SW1, Operating & Maintenance Instructions for the Lift Installations, Volume 4, 4.4 Lift Number 4.pdf",Stirling_Square,"Stirling_Square/5-7, Carlton Gardens, London, SW1, Operating & Maintenance Instructions for the Lift Installations, Volume 4, 4.4 Lift Number 4.pdf","5-7, Carlton Gardens, London, SW1, Operating & Maintenance Instructions for the Lift Installations, Volume 4, 4.4 Lift Number 4.pdf",.pdf,22145787,2025-12-03T02:17:00,True
Botanical_Place/WBF-MWL-ZZ-ZZ-RSK-ME1-0001_P01_S2-For Information_MEP Risk Assessment.pdf,Botanical_Place,Botanical_Place/WBF-MWL-ZZ-ZZ-RSK-ME1-0001_P01_S2-For Information_MEP Risk Assessment.pdf,WBF-MWL-ZZ-ZZ-RSK-ME1-0001_P01_S2-For Information_MEP Risk Assessment.pdf,.pdf,184967,2025-12-03T02:11:00,True
Botanical_Place/WBF-MNP-ZZ-ZZ-RA-S-0002_P02_S2-For Information_Design Risk Assessment_A4.pdf,Botanical_Place,Botanical_Place/WBF-MNP-ZZ-ZZ-RA-S-0002_P02_S2-For Information_Design Risk Assessment_A4.pdf,WBF-MNP-ZZ-ZZ-RA-S-0002_P02_S2-For Information_Design Risk Assessment_A4.pdf,.pdf,373745,2025-12-03T02:11:00,True
Botanical_Place/Care - Maintenance Doorsets.pdf,Botanical_Place,Botanical_Place/Care - Maintenance Doorsets.pdf,Care - Maintenance Doorsets.pdf,.pdf,25388,2025-12-03T02:11:00,True
Botanical_Place/UKDS-SFS_17180_01-Revision-A-Extension-Letter-V01-June-2024-exp.20240905.pdf,Botanical_Place,Botanical_Place/UKDS-SFS_17180_01-Revision-A-Extension-Letter-V01-June-2024-exp.20240905.pdf,UKDS-SFS_17180_01-Revision-A-Extension-Letter-V01-June-2024-exp.20240905.pdf,.pdf,130441,2025-12-03T02:11:00,True
Botanical_Place/C2419 - Botanical Place - Letter of Compliance to Clause 2.2.6.pdf,Botanical_Place,Botanical_Place/C2419 - Botanical Place - Letter of Compliance to Clause 2.2.6.pdf,C2419 - Botanical Place - Letter of Compliance to Clause 2.2.6.pdf,.pdf,162417,2025-12-03T02:11:00,True
Botanical_Place/Lignacite-Paint-Grade-Datasheet.pdf,Botanical_Place,Botanical_Place/Lignacite-Paint-Grade-Datasheet.pdf,Lignacite-Paint-Grade-Datasheet.pdf,.pdf,1515565,2025-12-03T02:11:00,True
Botanical_Place/Naylor Concrete Lintels.pdf,Botanical_Place,Botanical_Place/Naylor Concrete Lintels.pdf,Naylor Concrete Lintels.pdf,.pdf,3935275,2025-12-03T02:11:00,True
Botanical_Place/EPD_Lignacite_Ltd_Lignacrete_7.3N_HUB-0149_2024-09-03.pdf,Botanical_Place,Botanical_Place/EPD_Lignacite_Ltd_Lignacrete_7.3N_HUB-0149_2024-09-03.pdf,EPD_Lignacite_Ltd_Lignacrete_7.3N_HUB-0149_2024-09-03.pdf,.pdf,714206,2025-12-03T02:11:00,True
Botanical_Place/Lignacrete-Paint-Grade-Datasheet.pdf,Botanical_Place,Botanical_Place/Lignacrete-Paint-Grade-Datasheet.pdf,Lignacrete-Paint-Grade-Datasheet.pdf,.pdf,1317375,2025-12-03T02:11:00,True
Botanical_Place/SBD Production Acknowledgment - West Byfleet.pdf,Botanical_Place,Botanical_Place/SBD Production Acknowledgment - West Byfleet.pdf,SBD Production Acknowledgment - West Byfleet.pdf,.pdf,1165491,2025-12-03T02:11:00,True
Botanical_Place/SFS_17180_01-Summary-Document-SecureSound-PAS24-FD30 (1).pdf,Botanical_Place,Botanical_Place/SFS_17180_01-Summary-Document-SecureSound-PAS24-FD30 (1).pdf,SFS_17180_01-Summary-Document-SecureSound-PAS24-FD30 (1).pdf,.pdf,1890760,2025-12-03T02:11:00,True
Botanical_Place/UKD-IFCC_1489_Triple_Certification_Issue_6-exp.20240619.pdf,Botanical_Place,Botanical_Place/UKD-IFCC_1489_Triple_Certification_Issue_6-exp.20240619.pdf,UKD-IFCC_1489_Triple_Certification_Issue_6-exp.20240619.pdf,.pdf,125904,2025-12-03T02:11:00,True
Botanical_Place/C30072 Botanical Place - DRAFT O-M.pdf,Botanical_Place,Botanical_Place/C30072 Botanical Place - DRAFT O-M.pdf,C30072 Botanical Place - DRAFT O-M.pdf,.pdf,145433,2025-12-03T02:11:00,True
Botanical_Place/Lignacite-GP-Range-Datasheet.pdf,Botanical_Place,Botanical_Place/Lignacite-GP-Range-Datasheet.pdf,Lignacite-GP-Range-Datasheet.pdf,.pdf,1152676,2025-12-03T02:11:00,True
Botanical_Place/PP-BP-C30072-05012024 Rev.2.0 copy.pdf,Botanical_Place,Botanical_Place/PP-BP-C30072-05012024 Rev.2.0 copy.pdf,PP-BP-C30072-05012024 Rev.2.0 copy.pdf,.pdf,3841161,2025-12-03T02:11:00,True
Botanical_Place/PP-BP-C30072-05012024 Rev.2.0.pdf,Botanical_Place,Botanical_Place/PP-BP-C30072-05012024 Rev.2.0.pdf,PP-BP-C30072-05012024 Rev.2.0.pdf,.pdf,3841161,2025-12-03T02:11:00,True
Botanical_Place/SBD Member Cert Y1  - UK Doorsets Ltd (2023-24).pdf,Botanical_Place,Botanical_Place/SBD Member Cert Y1  - UK Doorsets Ltd (2023-24).pdf,SBD Member Cert Y1  - UK Doorsets Ltd (2023-24).pdf,.pdf,829788,2025-12-03T02:11:00,False
